@id,rdf:type,skos:prefLabel,skos:notation,skos:broader,skos:topConceptOf,skos:inScheme,skos:note,dcterms:source,pav:version
anzsic:scheme,skos:ConceptScheme,"1292.0 - Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006 (Revision 2.0)",,,,,Source: Australian Bureau of Statistics.,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/1292.02006%20(Revision%202.0)?OpenDocument,1.0.0
anzsic:A,skos:Concept,"Agriculture, Forestry and Fishing",A,,anzsic:scheme,anzsic:scheme,,,
anzsic:B,skos:Concept,Mining,B,,anzsic:scheme,anzsic:scheme,,,
anzsic:C,skos:Concept,Manufacturing,C,,anzsic:scheme,anzsic:scheme,,,
anzsic:D,skos:Concept,"Electricity, Gas, Water and Waste Services",D,,anzsic:scheme,anzsic:scheme,,,
anzsic:E,skos:Concept,Construction,E,,anzsic:scheme,anzsic:scheme,,,
anzsic:F,skos:Concept,Wholesale Trade,F,,anzsic:scheme,anzsic:scheme,,,
anzsic:G,skos:Concept,Retail Trade,G,,anzsic:scheme,anzsic:scheme,,,
anzsic:H,skos:Concept,Accommodation and Food Services,H,,anzsic:scheme,anzsic:scheme,,,
anzsic:I,skos:Concept,"Transport, Postal and Warehousing",I,,anzsic:scheme,anzsic:scheme,,,
anzsic:J,skos:Concept,Information Media and Telecommunications,J,,anzsic:scheme,anzsic:scheme,,,
anzsic:K,skos:Concept,Financial and Insurance Services,K,,anzsic:scheme,anzsic:scheme,,,
anzsic:L,skos:Concept,"Rental, Hiring and Real Estate Services",L,,anzsic:scheme,anzsic:scheme,,,
anzsic:M,skos:Concept,"Professional, Scientific and Technical Services",M,,anzsic:scheme,anzsic:scheme,,,
anzsic:N,skos:Concept,Administrative and Support Services,N,,anzsic:scheme,anzsic:scheme,,,
anzsic:O,skos:Concept,Public Administration and Safety,O,,anzsic:scheme,anzsic:scheme,,,
anzsic:P,skos:Concept,Education and Training,P,,anzsic:scheme,anzsic:scheme,,,
anzsic:Q,skos:Concept,Health Care and Social Assistance,Q,,anzsic:scheme,anzsic:scheme,,,
anzsic:R,skos:Concept,Arts and Recreation Services,R,,anzsic:scheme,anzsic:scheme,,,
anzsic:S,skos:Concept,Other Services,S,,anzsic:scheme,anzsic:scheme,,,
anzsic:01,skos:Concept,Agriculture,01,anzsic:A,,anzsic:scheme,,,
anzsic:02,skos:Concept,Aquaculture,02,anzsic:A,,anzsic:scheme,,,
anzsic:03,skos:Concept,Forestry and Logging,03,anzsic:A,,anzsic:scheme,,,
anzsic:04,skos:Concept,"Fishing, Hunting and Trapping",04,anzsic:A,,anzsic:scheme,,,
anzsic:05,skos:Concept,"Agriculture, Forestry and Fishing Support Services",05,anzsic:A,,anzsic:scheme,,,
anzsic:06,skos:Concept,Coal Mining,06,anzsic:B,,anzsic:scheme,,,
anzsic:07,skos:Concept,Oil and Gas Extraction,07,anzsic:B,,anzsic:scheme,,,
anzsic:08,skos:Concept,Metal Ore Mining,08,anzsic:B,,anzsic:scheme,,,
anzsic:09,skos:Concept,Non-Metallic Mineral Mining and Quarrying,09,anzsic:B,,anzsic:scheme,,,
anzsic:10,skos:Concept,Exploration and Other Mining Support Services,10,anzsic:B,,anzsic:scheme,,,
anzsic:11,skos:Concept,Food Product Manufacturing,11,anzsic:C,,anzsic:scheme,,,
anzsic:12,skos:Concept,Beverage and Tobacco Product Manufacturing,12,anzsic:C,,anzsic:scheme,,,
anzsic:13,skos:Concept,"Textile, Leather, Clothing and Footwear Manufacturing",13,anzsic:C,,anzsic:scheme,,,
anzsic:14,skos:Concept,Wood Product Manufacturing,14,anzsic:C,,anzsic:scheme,,,
anzsic:15,skos:Concept,"Pulp, Paper and Converted Paper Product Manufacturing",15,anzsic:C,,anzsic:scheme,,,
anzsic:16,skos:Concept,Printing (including the Reproduction of Recorded Media),16,anzsic:C,,anzsic:scheme,,,
anzsic:17,skos:Concept,Petroleum and Coal Product Manufacturing,17,anzsic:C,,anzsic:scheme,,,
anzsic:18,skos:Concept,Basic Chemical and Chemical Product Manufacturing,18,anzsic:C,,anzsic:scheme,,,
anzsic:19,skos:Concept,Polymer Product and Rubber Product Manufacturing,19,anzsic:C,,anzsic:scheme,,,
anzsic:20,skos:Concept,Non-Metallic Mineral Product Manufacturing,20,anzsic:C,,anzsic:scheme,,,
anzsic:21,skos:Concept,Primary Metal and Metal Product Manufacturing,21,anzsic:C,,anzsic:scheme,,,
anzsic:22,skos:Concept,Fabricated Metal Product Manufacturing,22,anzsic:C,,anzsic:scheme,,,
anzsic:23,skos:Concept,Transport Equipment Manufacturing,23,anzsic:C,,anzsic:scheme,,,
anzsic:24,skos:Concept,Machinery and Equipment Manufacturing,24,anzsic:C,,anzsic:scheme,,,
anzsic:25,skos:Concept,Furniture and Other Manufacturing,25,anzsic:C,,anzsic:scheme,,,
anzsic:26,skos:Concept,Electricity Supply,26,anzsic:D,,anzsic:scheme,,,
anzsic:27,skos:Concept,Gas Supply,27,anzsic:D,,anzsic:scheme,,,
anzsic:28,skos:Concept,"Water Supply, Sewerage and Drainage Services",28,anzsic:D,,anzsic:scheme,,,
anzsic:29,skos:Concept,"Waste Collection, Treatment and Disposal Services",29,anzsic:D,,anzsic:scheme,,,
anzsic:30,skos:Concept,Building Construction,30,anzsic:E,,anzsic:scheme,,,
anzsic:31,skos:Concept,Heavy and Civil Engineering Construction,31,anzsic:E,,anzsic:scheme,,,
anzsic:32,skos:Concept,Construction Services,32,anzsic:E,,anzsic:scheme,,,
anzsic:33,skos:Concept,Basic Material Wholesaling,33,anzsic:F,,anzsic:scheme,,,
anzsic:34,skos:Concept,Machinery and Equipment Wholesaling,34,anzsic:F,,anzsic:scheme,,,
anzsic:35,skos:Concept,Motor Vehicle and Motor Vehicle Parts Wholesaling,35,anzsic:F,,anzsic:scheme,,,
anzsic:36,skos:Concept,"Grocery, Liquor and Tobacco Product Wholesaling",36,anzsic:F,,anzsic:scheme,,,
anzsic:37,skos:Concept,Other Goods Wholesaling,37,anzsic:F,,anzsic:scheme,,,
anzsic:38,skos:Concept,Commission-Based Wholesaling,38,anzsic:F,,anzsic:scheme,,,
anzsic:39,skos:Concept,Motor Vehicle and Motor Vehicle Parts Retailing,39,anzsic:G,,anzsic:scheme,,,
anzsic:40,skos:Concept,Fuel Retailing,40,anzsic:G,,anzsic:scheme,,,
anzsic:41,skos:Concept,Food Retailing,41,anzsic:G,,anzsic:scheme,,,
anzsic:42,skos:Concept,Other Store-Based Retailing,42,anzsic:G,,anzsic:scheme,,,
anzsic:43,skos:Concept,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,43,anzsic:G,,anzsic:scheme,,,
anzsic:44,skos:Concept,Accommodation,44,anzsic:H,,anzsic:scheme,,,
anzsic:45,skos:Concept,Food and Beverage Services,45,anzsic:H,,anzsic:scheme,,,
anzsic:46,skos:Concept,Road Transport,46,anzsic:I,,anzsic:scheme,,,
anzsic:47,skos:Concept,Rail Transport,47,anzsic:I,,anzsic:scheme,,,
anzsic:48,skos:Concept,Water Transport,48,anzsic:I,,anzsic:scheme,,,
anzsic:49,skos:Concept,Air and Space Transport,49,anzsic:I,,anzsic:scheme,,,
anzsic:50,skos:Concept,Other Transport,50,anzsic:I,,anzsic:scheme,,,
anzsic:51,skos:Concept,Postal and Courier Pick-up and Delivery Services,51,anzsic:I,,anzsic:scheme,,,
anzsic:52,skos:Concept,Transport Support Services,52,anzsic:I,,anzsic:scheme,,,
anzsic:53,skos:Concept,Warehousing and Storage Services,53,anzsic:I,,anzsic:scheme,,,
anzsic:54,skos:Concept,Publishing (except Internet and Music Publishing),54,anzsic:J,,anzsic:scheme,,,
anzsic:55,skos:Concept,Motion Picture and Sound Recording Activities,55,anzsic:J,,anzsic:scheme,,,
anzsic:56,skos:Concept,Broadcasting (except Internet),56,anzsic:J,,anzsic:scheme,,,
anzsic:57,skos:Concept,Internet Publishing and Broadcasting,57,anzsic:J,,anzsic:scheme,,,
anzsic:58,skos:Concept,Telecommunications Services,58,anzsic:J,,anzsic:scheme,,,
anzsic:59,skos:Concept,"Internet Service Providers, Web Search Portals and Data Processing Services",59,anzsic:J,,anzsic:scheme,,,
anzsic:60,skos:Concept,Library and Other Information Services,60,anzsic:J,,anzsic:scheme,,,
anzsic:62,skos:Concept,Finance,62,anzsic:K,,anzsic:scheme,,,
anzsic:63,skos:Concept,Insurance and Superannuation Funds,63,anzsic:K,,anzsic:scheme,,,
anzsic:64,skos:Concept,Auxiliary Finance and Insurance Services,64,anzsic:K,,anzsic:scheme,,,
anzsic:66,skos:Concept,Rental and Hiring Services (except Real Estate),66,anzsic:L,,anzsic:scheme,,,
anzsic:67,skos:Concept,Property Operators and Real Estate Services,67,anzsic:L,,anzsic:scheme,,,
anzsic:69,skos:Concept,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",69,anzsic:M,,anzsic:scheme,,,
anzsic:70,skos:Concept,Computer System Design and Related Services,70,anzsic:M,,anzsic:scheme,,,
anzsic:72,skos:Concept,Administrative Services,72,anzsic:N,,anzsic:scheme,,,
anzsic:73,skos:Concept,"Building Cleaning, Pest Control and Other Support Services",73,anzsic:N,,anzsic:scheme,,,
anzsic:75,skos:Concept,Public Administration,75,anzsic:O,,anzsic:scheme,,,
anzsic:76,skos:Concept,Defence,76,anzsic:O,,anzsic:scheme,,,
anzsic:77,skos:Concept,"Public Order, Safety and Regulatory Services",77,anzsic:O,,anzsic:scheme,,,
anzsic:80,skos:Concept,Preschool and School Education,80,anzsic:P,,anzsic:scheme,,,
anzsic:81,skos:Concept,Tertiary Education,81,anzsic:P,,anzsic:scheme,,,
anzsic:82,skos:Concept,"Adult, Community and Other Education",82,anzsic:P,,anzsic:scheme,,,
anzsic:84,skos:Concept,Hospitals,84,anzsic:Q,,anzsic:scheme,,,
anzsic:85,skos:Concept,Medical and Other Health Care Services,85,anzsic:Q,,anzsic:scheme,,,
anzsic:86,skos:Concept,Residential Care Services,86,anzsic:Q,,anzsic:scheme,,,
anzsic:87,skos:Concept,Social Assistance Services,87,anzsic:Q,,anzsic:scheme,,,
anzsic:89,skos:Concept,Heritage Activities,89,anzsic:R,,anzsic:scheme,,,
anzsic:90,skos:Concept,Creative and Performing Arts Activities,90,anzsic:R,,anzsic:scheme,,,
anzsic:91,skos:Concept,Sports and Recreation Activities,91,anzsic:R,,anzsic:scheme,,,
anzsic:92,skos:Concept,Gambling Activities,92,anzsic:R,,anzsic:scheme,,,
anzsic:94,skos:Concept,Repair and Maintenance,94,anzsic:S,,anzsic:scheme,,,
anzsic:95,skos:Concept,Personal and Other Services,95,anzsic:S,,anzsic:scheme,,,
anzsic:96,skos:Concept,Private Households Employing Staff and Undifferentiated Goods- and Service-Producing Activities of Households for Own Use,96,anzsic:S,,anzsic:scheme,,,
anzsic:011,skos:Concept,Nursery and Floriculture Production,011,anzsic:01,,anzsic:scheme,,,
anzsic:012,skos:Concept,Mushroom and Vegetable Growing,012,anzsic:01,,anzsic:scheme,,,
anzsic:013,skos:Concept,Fruit and Tree Nut Growing,013,anzsic:01,,anzsic:scheme,,,
anzsic:014,skos:Concept,"Sheep, Beef Cattle and Grain Farming",014,anzsic:01,,anzsic:scheme,,,
anzsic:015,skos:Concept,Other Crop Growing,015,anzsic:01,,anzsic:scheme,,,
anzsic:016,skos:Concept,Dairy Cattle Farming,016,anzsic:01,,anzsic:scheme,,,
anzsic:017,skos:Concept,Poultry Farming,017,anzsic:01,,anzsic:scheme,,,
anzsic:018,skos:Concept,Deer Farming,018,anzsic:01,,anzsic:scheme,,,
anzsic:019,skos:Concept,Other Livestock Farming,019,anzsic:01,,anzsic:scheme,,,
anzsic:020,skos:Concept,Aquaculture,020,anzsic:02,,anzsic:scheme,,,
anzsic:030,skos:Concept,Forestry and Logging,030,anzsic:03,,anzsic:scheme,,,
anzsic:041,skos:Concept,Fishing,041,anzsic:04,,anzsic:scheme,,,
anzsic:042,skos:Concept,Hunting and Trapping,042,anzsic:04,,anzsic:scheme,,,
anzsic:051,skos:Concept,Forestry Support Services,051,anzsic:05,,anzsic:scheme,,,
anzsic:052,skos:Concept,Agriculture and Fishing Support Services,052,anzsic:05,,anzsic:scheme,,,
anzsic:060,skos:Concept,Coal Mining,060,anzsic:06,,anzsic:scheme,,,
anzsic:070,skos:Concept,Oil and Gas Extraction,070,anzsic:07,,anzsic:scheme,,,
